ID,NAME,Label
3164,Hong Kong,South China Sea
3647,Taichung,South China Sea
3541,Cirebon,Sunda Shelf
5295,Busan,Warm Temperate Northwest Pacific
3725,Xiamen,South China Sea
3439,Pulau Bukom,Sunda Shelf
8115,Dongguan,South China Sea
5821,Alang,West and South Indian Shelf
1182,Shanghai,Warm Temperate Northwest Pacific
6484,Jiangyin,Warm Temperate Northwest Pacific
3342,Honiara,Eastern Coral Triangle
5450,Panjang,Java Transitional
1504,Kaohsiung,South China Sea
4593,Keelung,Warm Temperate Northwest Pacific
9468,Taipei,Warm Temperate Northwest Pacific
1165,Singapore,Sunda Shelf
3362,Sriracha,Sunda Shelf
3923,Zhanjiang,South China Sea
4537,Limay(PHL),Western Coral Triangle
1927,Moji,Warm Temperate Northwest Pacific
2842,Yokohama,Warm Temperate Northwest Pacific
5802,Tokyo,Warm Temperate Northwest Pacific
2340,Hualien,Warm Temperate Northwest Pacific
4977,Los Angeles,Warm Temperate Northeast Pacific
3529,Ho Chi Minh City,Sunda Shelf
1357,Kota Kinabalu,Western Coral Triangle
2604,Bangkok Bar,Sunda Shelf
3590,Shekou,South China Sea
670,Surabaya,Sunda Shelf
4337,Chiwan,South China Sea
1282,Shantou,South China Sea
6512,Yantian,South China Sea
2605,Bangkok,Sunda Shelf
5556,China,Warm Temperate Northwest Pacific
3817,Ningbo,Warm Temperate Northwest Pacific
5605,San Francisco,Cold Temperate Northeast Pacific
5152,Davao,Western Coral Triangle
722,Pyeongtaek,Cold Temperate Northwest Pacific
5521,Genoa,Mediterranean Sea
2549,Qingdao,Cold Temperate Northwest Pacific
3272,Laem Chabang,Sunda Shelf
2846,Vietnam,Sunda Shelf
3560,Haikou,South China Sea
3415,Lianyungang,Cold Temperate Northwest Pacific
5196,Manila,Western Coral Triangle
2375,Guangzhou,South China Sea
306,Huangpu,South China Sea
774,Zhangjiagang,Warm Temperate Northwest Pacific
1139,Hiroshima,Warm Temperate Northwest Pacific
9545,Bab el Mandeb Strait,Red Sea and Gulf of Aden
6069,Zhenjiang,Warm Temperate Northwest Pacific
115,Port Klang,Sunda Shelf
4303,Incheon,Cold Temperate Northwest Pacific
5828,Xingang,Cold Temperate Northwest Pacific
3907,Bandar Mahshahr,Somali/Arabian
7895,Mai-Liao,South China Sea
2958,Mumbai,West and South Indian Shelf
4326,Izmir,Mediterranean Sea
5263,Tacoma,Cold Temperate Northeast Pacific
2815,Gwangyang,Warm Temperate Northwest Pacific
5146,Ulsan,Cold Temperate Northwest Pacific
4671,Tawau,Western Coral Triangle
4806,Nanjing,Warm Temperate Northwest Pacific
7892,Huizhou,South China Sea
3432,Fuzhou,Warm Temperate Northwest Pacific
5793,Muara Port,Western Coral Triangle
2445,Jakarta,Java Transitional
2151,Kobe,Warm Temperate Northwest Pacific
8771,Vancouver Anch.(CAN),Cold Temperate Northeast Pacific
185,Jebel Ali,Somali/Arabian
2346,Djibouti,Red Sea and Gulf of Aden
3062,Belawan,Sunda Shelf
4549,Zhuhai,South China Sea
5485,Nantong,Warm Temperate Northwest Pacific
3983,Dalian,Cold Temperate Northwest Pacific
7995,Panyu,South China Sea
52,Lahad Datu,Western Coral Triangle
5403,Fangcheng,South China Sea
4074,Batangas,Western Coral Triangle
5569,Panama Canal,West and South Indian Shelf
4717,Tsuruga,Cold Temperate Northwest Pacific
7704,Zhangzhou,South China Sea
291,Dongshan,South China Sea
2777,Kemaman,Sunda Shelf
3003,Ko Sichang,Sunda Shelf
2957,Qinhuangdao,Cold Temperate Northwest Pacific
4066,North Korea,Cold Temperate Northwest Pacific
5614,Nampo,Cold Temperate Northwest Pacific
1640,Yosu,Warm Temperate Northwest Pacific
6196,Daesan,Cold Temperate Northwest Pacific
7872,Mawan,South China Sea
4787,Banjarmasin,Sunda Shelf
4403,Sihanoukville,Sunda Shelf
4436,Subic Bay,Western Coral Triangle
5022,Port Sudan,Red Sea and Gulf of Aden
2140,Cilacap,Java Transitional
4445,Port Walcott,Temperate Australasia
3832,Nagoya,Warm Temperate Northwest Pacific
5681,Sorong,Western Coral Triangle
1340,Launceston,Temperate Australasia
3988,Quanzhou,South China Sea
4786,Macau,South China Sea
5476,Da Nang,South China Sea
6423,Ha Long Bay,South China Sea
3471,Port Said,Mediterranean Sea
5708,Chiba,Warm Temperate Northwest Pacific
2219,Miri,Western Coral Triangle
1952,Aden,Red Sea and Gulf of Aden
6071,Onsan,Cold Temperate Northwest Pacific
5015,Bandar Abbas,Somali/Arabian
1631,Fujairah Anch.,Somali/Arabian
1600,Melbourne,Temperate Australasia
818,Vostochnyy,Cold Temperate Northwest Pacific
2772,Mariveles,Western Coral Triangle
614,Zhongshan,South China Sea
1013,Sijingkat,Sunda Shelf
4425,Sungei Rajang,Sunda Shelf
950,Sandakan,Western Coral Triangle
3473,Cam Pha,South China Sea
3867,Haiphong,South China Sea
1524,Bintulu,Sunda Shelf
403,North Sea,Northern European Seas
3762,Susaki,Warm Temperate Northwest Pacific
5774,Pontianak,Sunda Shelf
7866,Fuqing,Warm Temperate Northwest Pacific
6366,Map Ta Phut,Sunda Shelf
2017,Iran,Somali/Arabian
1676,Wenzhou,Warm Temperate Northwest Pacific
5137,Masan,Warm Temperate Northwest Pacific
5775,Pohang,Cold Temperate Northwest Pacific
3753,Zamboanga,Western Coral Triangle
4343,Beihai,South China Sea
2442,Shiogama,Cold Temperate Northwest Pacific
5757,Penang,Sunda Shelf
7702,Zhapu,Warm Temperate Northwest Pacific
2302,Longkou,Cold Temperate Northwest Pacific
5863,Basuo,South China Sea
5181,Japan,Warm Temperate Northwest Pacific
2086,Suao,Warm Temperate Northwest Pacific
7703,Shuidong,South China Sea
2994,Tokuyama,Warm Temperate Northwest Pacific
5153,Tsuneishi,Warm Temperate Northwest Pacific
3279,Tsukumi,Warm Temperate Northwest Pacific
236,Celukan Bawang,Western Coral Triangle
169,Chittagong Roads,Bay of Bengal
4926,Palembang,Sunda Shelf
4309,Vanino,Cold Temperate Northwest Pacific
6066,Shanwei,South China Sea
4173,Botany Bay,Temperate Australasia
6133,Naha,Warm Temperate Northwest Pacific
6053,Zhoushan,Warm Temperate Northwest Pacific
8113,Quang Ninh,South China Sea
4836,Sanya,South China Sea
4743,San Lorenzo(ARG),Warm Temperate Southwestern Atlantic
1750,Wuhu,Warm Temperate Northwest Pacific
5340,Dumai,Sunda Shelf
4008,Durban,Temperate Southern Africa
1903,Pasir Gudang,Sunda Shelf
5048,Dubai,Somali/Arabian
4955,Krueng Geukueh,Sunda Shelf
502,Kawasaki,Warm Temperate Northwest Pacific
5493,Osaka,Warm Temperate Northwest Pacific
2230,Yingkou,Cold Temperate Northwest Pacific
944,Vladivostok,Cold Temperate Northwest Pacific
4166,South Korea,Cold Temperate Northwest Pacific
4723,Malaysia,Sunda Shelf
4350,Taiwan,Warm Temperate Northwest Pacific
1498,Telok Ayer,Sunda Shelf
5239,Toyama,Cold Temperate Northwest Pacific
1263,Kagoshima,Warm Temperate Northwest Pacific
7841,Salomague,Western Coral Triangle
3429,Philippines,Cold Temperate Northeast Pacific
4067,Brisbane,Temperate Australasia
2310,Juaymah Terminal,Somali/Arabian
7581,Yangzhou,Warm Temperate Northwest Pacific
3315,Yangon,Bay of Bengal
8640,Nansha,South China Sea
4842,Dandong,Cold Temperate Northwest Pacific
5127,Samarinda,Western Coral Triangle
7584,Rizhao,Cold Temperate Northwest Pacific
4292,Lawas,Western Coral Triangle
5369,Vung Tau,Sunda Shelf
1314,Shibushi,Warm Temperate Northwest Pacific
4404,Gunsan,Cold Temperate Northwest Pacific
6036,Mongla,Bay of Bengal
187,La Pallice,Lusitanian
2624,Ozamis,Western Coral Triangle
2088,Oita,Warm Temperate Northwest Pacific
4866,Mawei,Warm Temperate Northwest Pacific
4231,Toyohashi,Warm Temperate Northwest Pacific
3169,Kuantan,Sunda Shelf
4592,Semarang,Sunda Shelf
808,Naoetsu,Cold Temperate Northwest Pacific
4240,Kashima,Cold Temperate Northwest Pacific
2828,Karachi,West and South Indian Shelf
3976,Phnom Penh,Sunda Shelf
7590,Jinzhou,Cold Temperate Northwest Pacific
3401,Hastings(AUS),Temperate Australasia
3444,Nakhodka,Cold Temperate Northwest Pacific
151,Chittagong,Bay of Bengal
311,Vancouver(CAN),Cold Temperate Northeast Pacific
2760,Pulau Batam,Sunda Shelf
