,name,Label
0,%C3%85land,Geography
1,%C3%89douard_Manet,People
2,%C3%89ire,Geography
3,%E2%82%AC2_commemorative_coins,Economics
4,10th_century,History
5,11th_century,History
6,12th_century,History
7,13th_century,History
8,14th_century,History
9,15th_Marine_Expeditionary_Unit,History
10,15th_century,History
11,16_Cygni,Science
12,16_Cygni_Bb,Science
13,16th_century,History
14,1755_Lisbon_earthquake,History
15,17th_century,History
16,1896_Summer_Olympics,Everyday_life
17,18th_century,History
18,1928_Okeechobee_Hurricane,Geography
19,1973_oil_crisis,History
20,1980_eruption_of_Mount_St._Helens,Geography
21,19th_century,History
22,1_Ceres,Science
23,1st_century,History
24,1st_century_BC,History
25,2-6-0,Technology
26,2-8-0,Technology
27,2003_Atlantic_hurricane_season,Geography
28,2004_Atlantic_hurricane_season,Geography
29,2004_Indian_Ocean_earthquake,Geography
30,2005_Atlantic_hurricane_season,Geography
31,2005_Hertfordshire_Oil_Storage_Terminal_fire,History
32,2005_Kashmir_earthquake,Geography
33,2005_Sumatra_earthquake,Geography
34,20th_century,History
35,21st_century,History
36,2nd_century,History
37,3_Juno,Science
38,3rd_century,History
39,4-2-0,Technology
40,4-4-0,Technology
41,4-6-0,Technology
42,47_Ursae_Majoris,Science
43,47_Ursae_Majoris_b,Science
44,47_Ursae_Majoris_c,Science
45,4_Vesta,Science
46,4th_century,History
47,55_Cancri,Science
48,55_Cancri_b,Science
49,55_Cancri_c,Science
50,55_Cancri_d,Science
51,55_Cancri_e,Science
52,5th_century,History
53,6-2-0,Technology
54,6th_century,History
55,7th_century,History
56,8th_century,History
57,90377_Sedna,Science
58,9th_century,History
59,ABO_blood_group_system,Science
60,AIDS,Science
61,AK-47,History
62,ALCO_FA,Technology
63,ASCII,Technology
64,AT%26T,Economics
65,ATLAS_experiment,Science
66,A_Christmas_Carol,Culture
67,A_Tale_of_a_Tub,Culture
68,A_cappella,Culture
69,Aachen,Geography
70,Aardvark,Science
71,Aarhus,Geography
72,Abacus,Science
73,Abadan,Geography
74,Abbadid,History
75,Abbasid,History
76,Abbey,Culture
77,Abbey_Theatre,Culture
78,Abbot,Culture
79,Abel_Tasman,People
80,Aberdeen,Geography
81,Aberration_of_light,Science
82,Aberystwyth,Geography
83,Abhidhamma_Pitaka,Culture
84,Abidjan,Geography
85,Abkhazia,Countries
86,Able_Archer_83,History
87,Abraham_Lincoln,People
88,Absinthe,Everyday_life
89,Absolute_zero,Science
90,Abstract_art,Culture
91,Abu_Dhabi,Geography
92,Abuja,Geography
93,Acceleration,Science
94,Accountancy,Economics
95,Accra,Geography
96,Acetic_acid,Science
97,Acetone,Science
98,Achilles,History
